recipe_id;name;category;cuisine;cooking_method;difficulty;prep_time_minutes;cook_time_minutes;total_time_minutes;servings;calories_per_serving;rating;ingredients;instructions;author;date_created;is_vegetarian;is_vegan;is_gluten_free;is_dairy_free;is_full_meal;is_lunch;is_dinner;is_sweet
1;Traditional Japanese Dessert;Dulces;Japanese;Steaming;Easy;47;42;89;12;637;4.7;garlic, pepper, salt;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Michael Warner;2024-07-06;False;True;False;False;False;True;True;True
2;Classic Japanese Snack;Basicos;Japanese;Frying;Easy;10;122;132;11;529;4.9;butter, chicken, beef, vegetables, fish, pasta, rice, tomatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Dominic Sanders;2024-02-01;False;True;False;False;False;True;True;True
3;Traditional Mediterranean Salad;Clasicos;Mediterranean;Frying;Hard;56;44;100;2;707;4.7;salt, pepper, cucumbers, nuts, lettuce;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kyle Lucas;2025-05-17;True;False;False;False;False;True;False;False
4;Homestyle Korean Main Course;Main Course;Korean;Roasting;Easy;57;152;209;12;643;3.4;oil, salt, onion;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Andrew Gomez;2023-12-11;False;True;False;False;True;True;True;False
5;Classic Greek Salad;Salad;Greek;Microwaving;Easy;25;169;194;10;402;4.4;butter, salt, tomatoes, lettuce, cucumbers, cheese, dressing, nuts, mushrooms, lemon;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Ariel Pruitt;2025-08-03;False;False;True;False;True;True;False;False
6;Thai Breakfast;Breakfast;Thai;Grilling;Hard;32;177;209;10;287;4.4;salt, garlic, bacon, cereal, fruits, eggs, toast, milk, carrots, lime, spices, potatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Eric Evans;2024-03-02;False;True;True;False;True;False;False;False
7;Italian Soup;Soup;Italian;Frying;Medium;31;18;49;8;368;4.0;onion, garlic, herbs, grains, meat, beans, vegetables, broth, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Victoria Rowe;2025-05-15;True;True;False;False;True;True;True;False
8;Traditional Italian Beverage;Beverage;Italian;Raw;Medium;53;127;180;3;750;3.5;pepper, garlic, salt, water, juice, alcohol, coffee, soda, tea, spinach;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Dr. Sally Kaiser MD;2023-12-01;False;True;True;False;False;False;False;False
9;Homestyle Italian Breakfast;Breakfast;Italian;Microwaving;Hard;24;73;97;3;757;4.4;garlic, bacon, fruits, milk, toast;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;George Walker;2024-08-27;True;True;False;False;True;True;False;False
10;Traditional Thai Dessert;Dessert;Thai;Raw;Medium;54;178;232;5;408;4.7;garlic, oil, fruits, chocolate, eggs, cream, sugar, flour, mushrooms;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kevin Bates;2024-01-28;True;True;False;True;False;True;False;True
11;Authentic Italian Lunch;Lunch;Italian;Grilling;Easy;31;169;200;10;477;4.2;pepper, onion, butter, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Nicholas Roberts;2024-03-20;True;True;True;True;True;True;True;False
12;Authentic American Appetizer;Appetizer;American;Raw;Hard;24;35;59;11;636;3.4;pepper, dips, cheese, crackers, nuts, bread, olives, potatoes, mushrooms, spices;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Joseph Walker;2024-07-27;False;True;True;False;False;True;True;False
13;Mexican Snack;Snack;Mexican;Slow Cooking;Hard;37;152;189;8;759;4.5;butter, vegetables, rice, chicken, pasta, fish, beef, lime, bell peppers, tomatoes, herbs, spices;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Denise Myers;2025-05-23;True;True;False;True;True;True;True;False
14;Classic Middle Eastern Dinner;Dinner;Middle Eastern;Baking;Hard;23;117;140;2;603;4.1;salt, oil, beef, pasta;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Boil water and cook pasta according to package directions. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Anthony Glenn;2024-09-21;True;False;False;True;True;True;True;False
